,Attribute,ChildDeps,ChildPOS,ChildWords,Class,ParentDeps,ParentPOS,ParentWords,Sentence
304,screen,"[u'nummod', u'cc', u'conj', u'det']","[u'DT', u'CC', u'FW', u'DT']","[u'a', u'and', u'i', u'the']",0,"[u'nsubj', u'conj']","[u'VBP', u'NN']","[u'have', u'keyboard']",less than a year and i have to take it in for the connection between the keyboard and the screen
305,hardware,[u'dep'],[u'NN'],[u'thing'],0,[u'nsubj'],[u'NN'],[u'magnet'],hardware this thing is a fingerprint magnet both outside and inside
306,battery,"[u'nummod', u'cc', u'conj', u'det', u'cc', u'conj']","[u'CD', u'CC', u'FW', u'DT', u'CC', u'NN']","[u'one', u'and', u'i', u'the', u'and', u'battery']",0,"[u'nsubj', u'dobj', u'conj']","[u'VBD', u'VB', u'NN']","[u'had', u'change', u'screen']",less than one year and i had to change the screen and battery
307,battery,"[u'det', u'compound', u'case']","[u'DT', u'NN', u'IN']","[u'the', u'battery', u'on']",0,"[u'nsubj', u'compound', u'nmod']","[u'JJS', u'NN', u'NNS']","[u'biggest', u'life', u'hours']",the battery life is the biggest failing since during regular use this laptop seems to last around two hours on battery
308,drive,[],[],[],0,[u'compound'],[u'NN'],[u'problem'],five stars for pricefeature value less some for the lack of keyboard indicator lights and optical drive opener problem
309,,[],[],[],0,[],[],[],stated for hours i get less than hours
310,drive,"[u'det', u'amod', u'compound', u'acl:relcl']","[u'DT', u'JJ', u'NN', u'VB']","[u'a', u'solid', u'state', u'play']",0,[u'dobj'],[u'VB'],[u'have'],because it doesnt have a solid state drive in it windows ten does play nicer with it
311,warranty,[],[],[],0,[u'compound'],[u'NN'],[u'repair'],then the problems started and asus tech support and warranty repair turned out to be a hollow shell
312,weight,"[u'det', u'cc', u'conj', u'nmod', u'acl:relcl']","[u'DT', u'CC', u'NN', u'NN', u'VB']","[u'the', u'or', u'power', u'macbook', u'use']",0,"[u'dobj', u'conj']","[u'VB', u'NN']","[u'need', u'weight']",this way he if he doesnt need the weight or power of his macbook he can just use this out and about or for social media stuff while were watching tv
313,number,[],[],[],1,[u'compound'],[u'NN'],[u'pad'],it would be nice to have the number pad but it would take up way too much space and would not be feasible on the air
314,screen,[u'det'],[u'DT'],[u'the'],0,[u'nmod:npmod'],[u'RB'],[u'later'],less than days later the screen started having colored line across it
315,,[],[],[],0,[],[],[],secondly i wanted something that would last some hours before needing to be recharged
316,,[],[],[],0,[],[],[],likewise this apu with all of its integrated graphics capabilities feels like a big waste of silicon and transistors that cant be utilized when the tdp is limited to watts
317,batteries,"[u'det', u'amod', u'compound', u'cc', u'conj', u'case', u'case', u'det', u'acl:relcl']","[u'DT', u'JJ', u'NN', u'CC', u'PRP', u'IN', u'IN', u'DT', u'VBP']","[u'a', u'standard', u'year', u'and', u'they', u'except', u'for', u'the', u'need']",0,"[u'nsubjpass', u'compound', u'nmod']","[u'VBN', u'NN', u'VB']","[u'built', u'warranty', u'die']",ive used dell latitude laptops that always include a standard year warranty and they are solidly built and refuse to die except for the batteries that need replacing
318,battery,"[u'det', u'compound', u'compound']","[u'DT', u'NN', u'NN']","[u'a', u'hour', u'battery']",0,"[u'dobj', u'compound', u'compound']","[u'VBG', u'NN', u'NN']","[u'advertising', u'life', u'life']",advertising a hour battery life and delivering less than a third of that
319,computer,[u'det'],[u'DT'],[u'the'],0,[u'dobj'],[u'VBD'],[u'took'],but after a couple calls with technical support they took the computer back and are replacing it
320,warranty,[],[],[],0,[u'compound'],[u'NN'],[u'info'],we looked up warranty info and it appears its serviced outside the us
321,years,"[u'case', u'det', u'amod']","[u'IN', u'DT', u'JJ']","[u'in', u'the', u'last']",0,[u'nmod'],[u'VBN'],[u'purchased'],this is my th chromebook and nd from samsung that ive purchased in the last years
322,,[],[],[],0,[],[],[],the readwrite is a lot faster and what that means for you is less twirling beach balls and speedier application launching and file saving
323,hour,"[u'case', u'det', u'amod']","[u'IN', u'DT', u'JJ']","[u'within', u'that', u'same']",0,[u'nmod'],[u'VBD'],[u'put'],within that same hour i put it back in its box and i returned it and got my money back
324,drive,"[u'nsubj', u'cop', u'det', u'amod', u'amod', u'compound']","[u'NN', u'VBZ', u'DT', u'JJ', u'JJ', u'NN']","[u'problem', u'is', u'the', u'ssd', u'solid', u'state']",0,[],[],[],the second biggest problem is the ssd solid state drive
325,customer,"[u'mark', u'nsubj', u'cop', u'acl']","[u'IN', u'NN', u'VBD', u'VBN']","[u'that', u'damage', u'was', u'induced']",0,"[u'ccomp', u'compound']","[u'VBN', u'NN']","[u'informed', u'damage']",once the laptop was sent in dell informed that the screen damage was customer induced and wants to charge canadian dollars a third of the cost of the laptop
326,,[],[],[],0,[],[],[],when i bought it i did not realize that it was not windows based and i find it wont run any of the programs i use regularly
327,drive,[],[],[],0,[u'compound'],[u'NN'],[u'message'],by day i started receiving a drive error message no less than times a day
328,battery,[u'det'],[u'DT'],[u'the'],0,[u'nsubj'],[u'VBZ'],[u'seems'],the battery seems to last just under four hours
329,product,"[u'cc', u'conj', u'case', u'det', u'nmod']","[u'CC', u'JJ', u'IN', u'DT', u'RB']","[u'and', u'subsequent', u'of', u'this', u'here']",0,"[u'compound', u'nmod']","[u'NN', u'NN']","[u'review', u'review']",i purchased this laptop after watching lon seidmans review of this product and subsequent review of this product on here
330,,[],[],[],0,[],[],[],if used continuously it can last for about five to six hours
331,computer,[u'det'],[u'DT'],[u'this'],0,[u'dobj'],[u'VBD'],[u'bought'],i bought this computer when my last one stopped working
332,ram,[],[],[],0,[u'conj'],[u'NN'],[u'tb'],i like the tb and ram because i have thousands of photos and videos that i regularly take and access
333,battery,[u'det'],[u'DT'],[u'the'],1,[u'nsubj'],[u'VBZ'],[u'lasts'],i feel like the navy one looks like a macbook dupe overall super impressed and hopefully the battery lasts a long time i bought this for college needs
334,,[],[],[],1,[],[],[],it would be so nice to have a way to access them without going through any workarounds but no google didnt support its own program on this otherwise delightful little netbook
335,brand,"[u'cop', u'det']","[u'VBD', u'DT']","[u'was', u'another']",0,[u'ccomp'],[u'VBD'],[u'bought'],the last one that i bought was another brand
336,weights,"[u'advmod', u'dobj']","[u'RB', u'CD']","[u'also', u'lbs']",0,[],[],[],also weights less than lbs
337,screen,"[u'case', u'det']","[u'IN', u'DT']","[u'across', u'the']",0,[u'nmod'],[u'VBN'],[u'stretched'],they work technically they work but its hit or miss in terms of does an app properly support tablet mode or is it a phone app stretched across the screen
338,card,"[u'compound', u'acl']","[u'NN', u'VBN']","[u'sd', u'inserted']",0,"[u'nsubj', u'compound']","[u'VB', u'NN']","[u'sit', u'reader']",sd cards inserted into the laptops card reader do not sit flush to the unit making carrying additional storage less convenient
339,speed,"[u'case', u'det', u'amod', u'compound', u'amod']","[u'IN', u'DT', u'JJ', u'NN', u'JJ']","[u'with', u'the', u'regular', u'non', u'pro']",0,"[u'nmod', u'dobj']","[u'VB', u'VB']","[u'go', u'write']",if you want to save a bit of cash go with the regular non pro series and just lose mbps write speed and save
340,color,"[u'det', u'dep', u'nmod:poss', u'amod', u'advmod', u'acl:relcl']","[u'DT', u'NN', u'PRP$', u'JJ', u'RB', u'VB']","[u'the', u'color', u'its', u'transparency', u'hopefully', u'support']",1,"[u'dobj', u'dep']","[u'VB', u'NN']","[u'love', u'color']",love the color its a transparency color hopefully it can support my essays
341,cpu,"[u'neg', u'compound', u'det']","[u'DT', u'NN', u'DT']","[u'no', u'cd', u'the']",0,"[u'dobj', u'nsubj']","[u'VBZ', u'VBZ']","[u'has', u'has']",comparable to the njk accept this one has no cd drive and the cpu has less threads njk has this one has but this is also a lot thinner and lighter then the n
342,slot,"[u'neg', u'amod']","[u'DT', u'JJ']","[u'no', u'cddvd']",0,[u'nsubj'],[u'VBZ'],[u'theres'],lastly theres no cddvd slot
343,flash,"[u'det', u'case', u'det']","[u'DT', u'IN', u'DT']","[u'the', u'in', u'a']",0,"[u'nsubj', u'nmod']","[u'VB', u'VB']","[u'seem', u'last']",the battery does seem to last about house and charges in a flash
344,battery,[u'det'],[u'DT'],[u'the'],0,[u'nsubj'],[u'JJ'],[u'internal'],the battery is also internal and must be replaced the same way
345,computers,"[u'det', u'amod']","[u'DT', u'JJ']","[u'any', u'asus']",0,[u'dobj'],[u'VBG'],[u'purchasing'],i would warn anyone purchasing any asus computers that they do not last
346,computer,[],[],[],0,[u'nsubjpass'],[u'VBN'],[u'retired'],that computer is retired no faster than this asus and less than hours on a charge
347,model,"[u'case', u'det', u'compound']","[u'TO', u'DT', u'NN']","[u'to', u'this', u'hp']",0,[u'nmod'],[u'VBP'],[u'give'],with less than dollars i give stars to this hp model
348,computer,"[u'det', u'amod']","[u'DT', u'JJ']","[u'a', u'regular']",0,[u'nsubj'],[u'VBD'],[u'thought'],thought it was a regular computer
349,power,[u'amod'],[u'JJ'],[u'wont'],0,[u'dep'],[u'VBD'],[u'bought'],bought this device used it for less than a week and now it wont power on
350,years,"[u'nmod:poss', u'amod', u'dep', u'case']","[u'PRP$', u'JJ', u'NN', u'IN']","[u'my', u'last', u'lasted', u'for']",0,[u'nmod'],[u'NN'],[u'lasted'],my last computer a dell lasted for years
351,price,[],[],[],1,[u'compound'],[u'NN'],[u'i'],it doesnt have all the bells whistles of other laptops on the market but for the price quality i hope this lasts for quite some time
352,,[],[],[],1,[],[],[],it would be a great laptop if it worked or the company actually provided service
353,price,[u'det'],[u'DT'],[u'the'],0,[u'nmod:npmod'],[u'RB'],[u'i'],i purchased mine from walmart in my city for less than i could get it online but its worth the price i see it advertised on amazon or anywhere else
354,,[],[],[],1,[],[],[],i wanted to run linux on it figured it would be no big deal but it uses a bit uefi boot loader on a bit cpu architecture which is ridiculous to try and change the operating system since there is virtually no linux distros that support it its also running a bit version of windows why have a bit cpu and put a bit os on it the only way to boot linux is to get ahold of a bit uefi boot loader put in the efiboot folder on your install medium then when it freezes on a command line while booting cd into the drivers
355,maximum,[],[],[],0,"[u'nsubj', u'nsubjpass', u'amod']","[u'VB', u'VBN', u'NN']","[u'last', u'reduced', u'mode']",battery can last for several hours as advised but that number gets reduced if you use it on maximum performance mode of course
356,years,"[u'det', u'case', u'amod']","[u'DT', u'IN', u'JJS']","[u'this', u'at', u'least']",1,"[u'compound', u'nsubj', u'nmod']","[u'NN', u'VB', u'VB']","[u'mark', u'last', u'last']",my only worry is that this freezing thing will get worse at the year mark but im trying my best to treat it well and hopefully this computer can last at least years
357,year,"[u'det', u'amod', u'compound']","[u'DT', u'JJ', u'NN']","[u'the', u'extended', u'year']",1,"[u'dobj', u'compound']","[u'VBN', u'NN']","[u'purchased', u'warranty']",i purchased the extended year warranty for added piece of mind but hopefully i wont need to use it
358,,[],[],[],0,[],[],[],never the less it could be but i have properly working laptop that has fallen apart from its monitor and can not be put back no matter what
359,users,"[u'case', u'amod']","[u'IN', u'JJ']","[u'as', u'regular']",0,[u'nmod'],[u'VB'],[u'login'],i setup my chromebook to allow my family members to login as regular users
360,,[],[],[],0,[],[],[],might be the last considering the support
361,computer,"[u'det', u'cc', u'nsubj', u'aux', u'cop', u'case', u'det', u'nmod']","[u'DT', u'CC', u'FW', u'MD', u'VB', u'IN', u'DT', u'NNS']","[u'the', u'but', u'i', u'would', u'be', u'without', u'the', u'weeks']",0,"[u'dobj', u'dep']","[u'VB', u'VB']","[u'fix', u'fix']",they agreed to fix the computer but i would be without the computer for about weeks including ship time there and back and actual repair time
362,years,[u'case'],[u'IN'],[u'of'],0,[u'nmod'],[u'NN'],[u'couple'],i hope that this laptop can last a couple of years
363,drive,"[u'det', u'amod', u'acl']","[u'DT', u'VBG', u'VB']","[u'an', u'operating', u'inform']",0,"[u'dobj', u'amod', u'compound']","[u'VBZ', u'NN', u'NN']","[u'allows', u'system', u'ssd']",well according to wikipedia in computing a trim command allows an operating system to inform a solid state drive ssd which blocks of data are no longer considered in use and can be wiped internally
364,cpu,[u'amod'],[u'JJR'],[u'less'],0,[u'dobj'],[u'VBZ'],[u'uses'],avg uses much less cpu when sitting idle
365,years,"[u'case', u'det', u'amod']","[u'IN', u'DT', u'JJ']","[u'for', u'the', u'last']",0,[u'nmod'],[u'NN'],[u'person'],i am a mac person for the last years
366,years,"[u'nsubj', u'nmod']","[u'PRP', u'NN']","[u'me', u'macbook']",0,[u'xcomp'],[u'VB'],[u'last'],im hoping this will last me years like my macbook did
367,,[],[],[],0,[],[],[],with the lower portion of the ports sitting outside of the case
368,computer,"[u'nmod:poss', u'amod']","[u'PRP$', u'JJ']","[u'my', u'next']",0,[u'nsubj'],[u'NN'],[u'chromebook'],this is the second chromebook for my house and not the last my next computer will be another chromebook or a chromebox
369,drive,"[u'det', u'amod']","[u'DT', u'JJ']","[u'an', u'external']",0,"[u'compound', u'dobj']","[u'NN', u'VB']","[u'youll', u'use']",a few things to note there is no optical drive youll need to use an external drive or download your software from the net
370,computer,[u'det'],[u'DT'],[u'this'],0,[u'iobj'],[u'VBN'],[u'given'],until last night id have given this computer stars
371,years,[u'advmod'],[u'RB'],[u'later'],0,[u'nsubj'],[u'VBG'],[u'coming'],now less than years later the cover is coming apart
372,,[],[],[],0,[],[],[],with gaming and designing i could barely last hours
373,,[],[],[],0,[],[],[],a few days later i called asus sustomer support and filed a rma form
374,drive,"[u'det', u'amod']","[u'DT', u'JJ']","[u'an', u'external']",0,[u'dobj'],[u'VB'],[u'buy'],i had to buy an external drive though later on i had thought i would not need it but i do for the work i doing with it
375,drives,"[u'case', u'amod', u'compound']","[u'IN', u'JJ', u'NN']","[u'through', u'solid', u'state']",0,"[u'compound', u'nmod']","[u'NN', u'VBN']","[u'ive', u'gone']",in the last years ive gone through solid state drives
376,years,"[u'case', u'det', u'advmod', u'det', u'amod']","[u'IN', u'DT', u'RBR', u'DT', u'JJ']","[u'with', u'this', u'later', u'a', u'few']",0,"[u'nmod', u'nmod:npmod']","[u'JJ', u'RBR']","[u'updated', u'later']",updated with this model a few years later and what
377,warranty,[u'det'],[u'DT'],[u'the'],0,[u'nsubj'],[u'VBZ'],[u'shows'],my problem is that the warranty shows starting in june and expiring in less than months
378,installed,"[u'nsubj', u'dobj', u'nmod', u'cc', u'conj']","[u'FW', u'PRP', u'NN', u'CC', u'VBD']","[u'i', u'it', u'minute', u'and', u'required']",0,[],[],[],i installed it in less than a minute and required no dismantling of the laptop
379,,[],[],[],0,[],[],[],probably rolling back the driver to the previous update or waiting for a fix by asus is the solution
380,price,[u'det'],[u'DT'],[u'the'],0,[u'dobj'],[u'VBP'],[u'note'],also i found this machine on sale today at dell and frys for less than while at couple of online stores i note the price at over
381,screen,"[u'case', u'det', u'amod', u'compound', u'compound', u'det']","[u'TO', u'DT', u'JJ', u'NN', u'NN', u'DT']","[u'to', u'a', u'proper', u'gb', u'flash', u'the']",0,"[u'nmod', u'compound', u'nmod:npmod']","[u'VB', u'NN', u'RB']","[u'back', u'drive', u'immediately']",i tried to back it up to a proper gb flash drive and the screen immediately started flashing on and off
382,battery,"[u'det', u'nmod']","[u'DT', u'NNS']","[u'the', u'hours']",0,[u'dobj'],[u'VBG'],[u'draining'],theres a function in windows settings that lets you see what appsprocesses are draining the battery over the last hours
383,screen,[u'det'],[u'DT'],[u'the'],0,[u'nsubj'],[u'VBD'],[u'went'],didnt even last hours before the screen went out
384,price,"[u'det', u'det']","[u'DT', u'DT']","[u'the', u'the']",0,"[u'nsubj', u'dobj']","[u'NN', u'VBG']","[u'victim', u'getting']",the screen is a victim of getting the price to where it is
385,,[],[],[],0,[],[],[],for me im much less productive as a result
386,power,[],[],[],1,[u'compound'],[u'NN'],[u'adapter'],i wish the ac power adapter had prongs that stowed away for when carrying this in a bag
387,computer,"[u'det', u'nmod', u'case', u'det']","[u'DT', u'NN', u'IN', u'DT']","[u'this', u'computer', u'for', u'a']",0,"[u'nsubj', u'nmod']","[u'PRP', u'NN']","[u'it', u'price']",i would think that paying this price for a computer it would last longer than months
388,price,[],[],[],0,[u'compound'],[u'NN'],[u'legit'],com and found windows pro oem for th of the regular price legit and verified but use paypal
389,year,"[u'mark', u'nsubj', u'aux', u'case', u'det', u'amod', u'case', u'det', u'nmod']","[u'IN', u'NN', u'VBP', u'IN', u'DT', u'JJ', u'IN', u'DT', u'NN']","[u'that', u'id', u'have', u'for', u'a', u'few', u'than', u'a', u'im']",0,"[u'ccomp', u'nmod']","[u'VBG', u'RBR']","[u'buying', u'less']",i thought id be buying something that id have for a few years but less than a year in im having a lot of problems with it
390,number,"[u'nummod', u'amod', u'nummod']","[u'CD', u'JJ', u'CD']","[u'i', u'unboxed', u'four']",0,"[u'compound', u'nsubj']","[u'NN', u'VBP']","[u'm', u'im']",maybe im the april fool to keep trying but number four about p m last night i unboxed number four
391,battery,[],[],[],0,[u'compound'],[u'NNS'],[u'realistically'],battery realistically will last hours with wifi and internet surfing instead of the hrs advertised
392,year,"[u'case', u'det']","[u'IN', u'DT']","[u'for', u'a']",1,[u'nmod'],[u'VB'],[u'hold'],but it would be nice if the build quality would at hold up for a year
393,,[],[],[],0,[],[],[],the chromebook will say it has hours left and a few minutes later it dies
394,years,"[u'compound', u'acl:relcl', u'case', u'cc', u'conj', u'acl']","[u'NN', u'VBN', u'IN', u'CC', u'NN', u'VBN']","[u'whp', u'designed', u'beyond', u'and', u'ive', u'bought']",0,"[u'dobj', u'nmod']","[u'VBN', u'VB']","[u'done', u'last']",i am done whp products nothing is designed to last beyond years and ive bought from the highest end to the cheaper
395,,[],[],[],0,[],[],[],had it less than hours
396,year,"[u'case', u'amod']","[u'IN', u'JJ']","[u'since', u'last']",0,[u'nmod'],[u'VB'],[u'get'],i been waiting to get one since last year
397,,[],[],[],0,[],[],[],consi did have issues with wifi dropping about times but i updated the drivers and fingers crossed no issues for the last week
398,computer,"[u'nmod:poss', u'amod', u'amod', u'nmod']","[u'PRP$', u'JJR', u'JJ', u'PRP']","[u'its', u'slower', u'regular', u'it']",0,[u'nsubj'],[u'VBZ'],[u'gets'],its a bit slower than my wifes regular computer but it gets the job done
399,computer,"[u'dep', u'det']","[u'NN', u'DT']","[u'computer', u'any']",0,"[u'nsubj', u'dep']","[u'VBZ', u'NN']","[u'manufactures', u'type']",hopefully the machine will last i do see that some people have issues crop up after a few months of use but type any computer manufactures followed by the words problems or issue and you will get billions of hits it comes with the program
400,resolution,"[u'mark', u'nsubj', u'det', u'cop', u'amod', u'nmod']","[u'IN', u'NN', u'DT', u'VBD', u'JJR', u'JJS']","[u'if', u'screen', u'the', u'was', u'higher', u'most']",1,"[u'advcl', u'nsubj']","[u'JJ', u'NN']","[u'nice', u'resolution']",yes it would be nice if the screen was higher resolution but for most of what i want to use it for and for the money this is a great deal
401,screen,"[u'cop', u'advmod', u'det', u'amod', u'acl:relcl', u'advmod']","[u'VBD', u'RB', u'DT', u'JJ', u'VBD', u'RB']","[u'was', u'just', u'a', u'blue', u'shut', u'on']",0,[u'ccomp'],[u'VBD'],[u'got'],what i got was just a blue screen not on or off i shut it off and put it back on
402,computer,"[u'det', u'advmod', u'acl:relcl']","[u'DT', u'RB', u'VBD']","[u'this', u'ago', u'spilled']",0,[u'dobj'],[u'VB'],[u'buy'],how i came to buy this computer a few weeks ago i spilled water next to my macbook pro and fried the logic board
403,computer,"[u'nsubj', u'cop', u'amod', u'nmod', u'ccomp']","[u'DT', u'VBZ', u'JJ', u'NN', u'VBN']","[u'this', u'is', u'third', u'amazon', u'purchased']",0,[],[],[],this is third computer from amazon and from hsn that i have purchased in the last few weeks
404,customer,"[u'case', u'det', u'nmod']","[u'TO', u'DT', u'NN']","[u'to', u'another', u'one']",0,"[u'nmod', u'compound', u'compound']","[u'VBG', u'NN', u'NN']","[u'looking', u'one', u'service']",thank you amazon for taking it back im looking forward to another computer of another brand one which actually has customer service
405,operating,"[u'case', u'det', u'compound', u'amod']","[u'IN', u'DT', u'NN', u'VBG']","[u'of', u'the', u'google', u'operating']",0,"[u'nmod', u'amod']","[u'NN', u'NN']","[u'version', u'system']",i contacted google regarding the problems and after several attempts to get it going properly the google rep concluded the device needed to have the version of the google operating system updated
406,computer,"[u'case', u'det', u'amod']","[u'IN', u'DT', u'JJ']","[u'as', u'a', u'second']",0,[u'nmod'],[u'RB'],[u'regularly'],i have used it regularly each day as a second computer to the tabletop we keep in our office
407,hard,[],[],[],1,[u'amod'],[u'NNS'],[u'data'],so you have to make a judgement call but it would be great if you could have some hard data to help
408,product,"[u'det', u'det']","[u'DT', u'DT']","[u'the', u'the']",0,"[u'nsubj', u'dobj']","[u'VBD', u'VBG']","[u'flashed', u'receiving']",it lost the driver to the internet overheated the screen flashed darklight all in less than two weeks of receiving the product
409,,[],[],[],0,[],[],[],i cant remember the last time i even used a software program
410,computer,[u'det'],[u'DT'],[u'this'],0,[u'dobj'],[u'VBD'],[u'got'],i got this computer last month for school
411,hardware,"[u'nsubj', u'cop', u'det', u'amod', u'compound', u'acl:relcl']","[u'DT', u'VBZ', u'DT', u'JJ', u'NNS', u'VB']","[u'this', u'is', u'the', u'last', u'asus', u'buy']",0,[u'dobj'],[u'VB'],[u'purchase'],this is the last asus product i will ever buy and the last time i will use the microsoft store to purchase hardware
412,drive,"[u'det', u'amod', u'nmod']","[u'DT', u'JJ', u'NNS']","[u'a', u'regular', u'documents']",0,[u'dobj'],[u'VBP'],[u'have'],i have a regular drive for documents and everything else
413,system,[],[],[],0,[u'compound'],[u'NNS'],[u'updates'],performance it does crash once in a while but less after system updates
414,models,"[u'det', u'acl', u'case', u'amod', u'nmod']","[u'DT', u'VB', u'IN', u'JJ', u'NN']","[u'the', u'last', u'in', u'future', u'laptop']",0,"[u'dobj', u'nmod']","[u'VBZ', u'NNS']","[u'improves', u'hours']",hopefully asus improves the battery to last about to hours in future models of this laptop
415,port,"[u'case', u'amod', u'det', u'det', u'dep', u'det', u'compound', u'compound', u'cc', u'conj', u'det', u'amod', u'compound', u'compound']","[u'IN', u'JJ', u'DT', u'DT', u'NN', u'DT', u'NN', u'NN', u'CC', u'NN', u'DT', u'JJ', u'NN', u'NN']","[u'for', u'internal', u'a', u'a', u'slot', u'a', u'sd', u'card', u'and', u'port', u'a', u'regular', u'size', u'hdmi']",0,"[u'nmod', u'dobj', u'nsubj', u'dep', u'compound', u'conj', u'compound']","[u'RB', u'VBP', u'VBP', u'NN', u'NN', u'NN', u'NN']","[u'as', u'have', u'remember', u'usb', u'slot', u'slot', u'port']",as for internal memory remember you have a usb a usb a sd card slot and a regular size hdmi port
416,display,"[u'nsubj', u'amod', u'advcl', u'mark', u'cop', u'det', u'amod']","[u'NNS', u'JJ', u'VBN', u'IN', u'VBG', u'DT', u'JJ']","[u'years', u'last', u'criticized', u'for', u'being', u'a', u'pentile']",0,"[u'nsubj', u'advcl']","[u'NN', u'VBN']","[u'display', u'criticized']",last years display was criticized for being a pentile display and for its yellowish hue
417,user,[],[],[],0,[u'compound'],[u'NN'],[u'replaceable'],they could have also made it user replaceable like companies have been doing for the last decade
418,years,"[u'case', u'det', u'amod']","[u'IN', u'DT', u'JJ']","[u'of', u'the', u'last']",0,[u'nmod'],[u'NN'],[u'course'],i havent owned one before but i have owned several desktops as well as a few laptops and macbook pros over the course of the last years
419,,[],[],[],1,[],[],[],there is no way to configure the keyboards backlight outside of shutting it of turning it on or off there is no way to change the brightness level or set it to always on this is not a huge issue but it would be nice to be able to stop the keyboard backlight from shutting off after seconds of the last keystroke
420,disk,"[u'advmod', u'advmod', u'cop', u'det', u'nsubj']","[u'RB', u'RB', u'VBP', u'DT', u'NNS']","[u'lastly', u'here', u'are', u'the', u'results']",0,[],[],[],lastly here are the disk performance results for the internal gb ssd storage
421,warranty,"[u'case', u'compound', u'nmod']","[u'IN', u'NN', u'FW']","[u'of', u'viziothereforeno', u'i']",0,[u'nmod'],[u'NN'],[u'dealer'],turns out i didnt buy it from amazon i bought it from casol electronicsand casol is not an authorized dealer of viziothereforeno warranty to boot i was outside of the day amazon electronics return so no help there eitheruntil i logged into an amazon chat dialog
422,,[],[],[],0,[],[],[],makes the machine less portable
423,years,[u'nummod'],[u'CD'],[u'eight'],0,[u'nmod:npmod'],[u'RB'],[u'ago'],the last laptop i bought was over eight years ago
424,model,[u'det'],[u'DT'],[u'this'],0,[u'nsubj'],[u'VBG'],[u'using'],the last person was a reviewer who bought this model is using it and took the time to answer my questions on amazon
425,battery,"[u'nmod:poss', u'dep']","[u'PRP$', u'NNS']","[u'its', u'hours']",0,[],[],[],its battery last hours
426,price,"[u'advmod', u'case', u'advmod', u'det', u'amod']","[u'RB', u'IN', u'RB', u'DT', u'JJ']","[u'locally', u'at', u'twice', u'the', u'actual']",0,[u'nmod'],[u'VB'],[u'purchase'],now i have to purchase another laptop locally at twice the actual price just so that i can give these gifts on time
427,year,"[u'cc', u'advmod']","[u'CC', u'RB']","[u'and', u'ago']",0,[u'dep'],[u'VBD'],[u'started'],ive had this laptop for less than a year and about months ago it started crashing on me
428,price,[],[],[],0,[u'compound'],[u'NN'],[u'deduction'],in all fairness asus offered me a less than generous price deduction on my replacement laptop
429,power,[],[],[],0,[u'compound'],[u'NN'],[u'button'],if you push the power button the desktop will be up in seconds or less
430,battery,[u'det'],[u'DT'],[u'the'],0,[u'nsubj'],[u'VBZ'],[u'dies'],its been plugged into the ac for days now but every time i unplug it the battery dies in less than seconds
431,usb,"[u'mark', u'nsubj', u'cop', u'case', u'amod', u'nmod', u'xcomp']","[u'IN', u'NN', u'VBD', u'IN', u'JJ', u'NNS', u'VB']","[u'if', u'method', u'was', u'through', u'micro', u'phones', u'use']",1,[u'advcl'],[u'JJ'],[u'nice'],it would be nice if the charging method was through micro usb like for phones or the option to use it as a charger
432,computer,[u'det'],[u'DT'],[u'the'],0,[u'nsubj'],[u'VBZ'],[u'needs'],there are no authorized service centers outside of the factory so the computer needs to be shipped back to china for servicing
433,price,[],[],[],1,[u'compound'],[u'NN'],[u'point'],if there is a better laptop at or below the price point i would love to see it
434,models,"[u'nsubj', u'cop', u'amod', u'nmod']","[u'JJ', u'VBD', u'JJ', u'NN']","[u'last', u'were', u'comparable', u'one']",0,[],[],[],my last were comparable models of this one
435,drive,"[u'compound', u'compound', u'nmod']","[u'FW', u'FW', u'NN']","[u'pro', u'i', u'store']",0,[u'dobj'],[u'VBN'],[u'macbook'],guess what if i have problem with my apple macbook pro i drive to the local apple store where their eager apple helpers actually do assist in resolving any issue i have
436,year,"[u'nsubj', u'cop', u'case', u'nmod:poss', u'amod', u'nmod', u'case', u'cc', u'conj']","[u'NN', u'VBD', u'IN', u'PRP$', u'JJ', u'NN', u'IN', u'CC', u'VBD']","[u'player', u'was', u'on', u'its', u'last', u'warranty', u'of', u'and', u'quit']",0,[u'nmod'],[u'NN'],[u'year'],my one dvd player was on its last year of warranty and it just quit
437,,[],[],[],0,[],[],[],i have no programs on it ive deleted all the apps it came with and still i have less than gb remaining on the disc
438,,[],[],[],0,[],[],[],i bought this for my son for christmas it worked less than hours
439,battery,"[u'det', u'acl']","[u'DT', u'VBN']","[u'the', u'used']",0,[u'nsubj'],[u'VBZ'],[u'tends'],the battery being used on level brightness while running word excel ie and spss tends to last about hours
440,resolution,"[u'mark', u'nsubj', u'cop', u'det', u'compound', u'dep', u'cc', u'conj']","[u'IN', u'PRP', u'VBP', u'DT', u'NN', u'VBP', u'CC', u'NN']","[u'with', u'it', u'are', u'the', u'trackpad', u'wont', u'and', u'ive']",0,"[u'dobj', u'conj']","[u'VBP', u'NN']","[u'have', u'trackpad']",the big problems i have with it are the trackpad and screen resolution though i wont take the latter into consideration with this review because im not too well informed about it and ive been informed that there may be some way to remedy this
441,port,[],[],[],0,"[u'amod', u'amod']","[u'NN', u'NN']","[u'work', u'work']",ive had it for less than months and the usb port dont work
